safety_value,throttle,steering,current,voltage,IMU[0],IMU[1],IMU[2],velocity,elapsed time,hand_made_ping
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,362.498494149,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,362.600443364,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,362.70049882,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,362.801292658,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,362.902407885,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,363.001054287,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,363.101747036,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,363.201063633,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,363.301725865,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,363.401693106,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,363.4995296,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,363.598265648,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,363.698594809,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,363.798305512,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,363.899468422,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,364.000536681,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,364.100467921,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,364.200894595,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,364.29961586,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,364.401149989,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,364.500944376,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,364.601141692,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,364.700275183,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,364.79985451699997,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,364.898925543,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,364.998230458,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,365.099488974,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,365.199150086,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,365.299228907,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,365.399451256,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,365.502253533,0.0
