safety_value,throttle,steering,current,voltage,IMU[0],IMU[1],IMU[2],velocity,elapsed time,republished time
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,28.001211643,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,28.101382494,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,28.200097322,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,28.299754381,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,28.399415493,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,28.499658823,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,28.599267721,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,28.70001936,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,28.801353455,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,28.900316477,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,29.000860691,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,29.100512266,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,29.200094223,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,29.300322294,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,29.401467562,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,29.500267982,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,29.600025415,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,29.699332714,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,29.799794674,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,29.899635792,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,29.999572277,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,30.100864887,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,30.201413631,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,30.301045895,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,30.40033412,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,30.500769615,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,30.600820541,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,30.701064587,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,30.800307274,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,30.901061535,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,30.999689102,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,31.099417925,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,31.200464964,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,31.299753666,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,31.400009155,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,31.500532389,-0.141676426
